Feature,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
BlackBits,0.19526220237174302,0.019874227566674223,0.2763215048260415,0.0008725193646399999
WhiteBits,-0.19526220237174302,0.019874227566674223,-0.2763215048260415,0.0008725193646399999
FillRatio,-0.19526220237174302,0.019874227566674223,-0.2763215048260415,0.0008725193646399999
RowTransitions,-0.339894863928871,3.4971747192054934e-05,-0.37536041193630487,4.167514452427291e-06
ColTransitions,-0.38611471993910673,2.0770037676103906e-06,-0.3717693841257286,5.229891194139995e-06
TotalTransitions,-0.5134043198385534,6.428363203458827e-11,-0.5530056875773981,9.592581538477621e-13
BlackComponents,-0.6134845754541562,4.792722314880781e-16,-0.7025452737529359,1.9711062641421172e-22
WhiteComponents,-0.20313803906245734,0.015324865859339893,-0.1396166616351694,0.09748992216421301
TotalComponents,-0.556543260230704,6.410661334592774e-13,-0.5839669140052964,2.383232670278114e-14
HorizontalSymmetry,0.14808941571503104,0.0786110590581149,0.1510937196641188,0.07267047794650187
VerticalSymmetry,0.17942658066682338,0.03263158086996292,0.14880222559708814,0.07716735591523216
Rotation90Similarity,0.17858598413652846,0.03346888512945738,0.10614828448228926,0.20865295798219122
Rotation180Similarity,-0.04045150101230288,0.6326712518925323,0.009160991772987015,0.9138345057222548
Rotation270Similarity,0.17858598413652846,0.03346888512945738,0.10614828448228926,0.20865295798219122
NearestHammingDistance,0.020866980261274586,0.8053046524731564,0.014033458105678711,0.8683473699442678
AverageHammingDistance,0.010458453257375877,0.9016884556236734,-0.05162980554461245,0.5417230968527296
